,undergrad,grad,source,target,job,counts
1,Accounting,MS in Biotech. Management & Entrepreneurship,0,16,,30.0
2,Accounting,MS in Cybersecurity,0,17,,31.152263374485596
3,Accounting,MS in Data Analytics and Visualization,0,18,,32.30452674897119
4,Accounting,MS in Digital Marketing and Media,0,19,,32.30452674897119
6,Accounting,MS in Quantitative Economics,0,23,,31.440329218106996
10,Architecture And Environmental Design,MS in Data Analytics and Visualization,1,18,,30.0
22,Arts And Humanities-Other,MS in Speech-Language Pathology,2,24,,33.45679012345679
19,Arts And Humanities-Other,MS in Quantitative Economics,2,23,,30.0
18,Arts And Humanities-Other,MS in Mathematics,2,20,,30.0
17,Arts And Humanities-Other,MS in Digital Marketing and Media,2,19,,30.576131687242796
15,Arts And Humanities-Other,MS in Cybersecurity,2,17,,30.2880658436214
14,Arts And Humanities-Other,MS in Biotech. Management & Entrepreneurship,2,16,,30.0
13,Arts And Humanities-Other,MS in Artificial Intelligence,2,15,,30.2880658436214
16,Arts And Humanities-Other,MS in Data Analytics and Visualization,2,18,,30.864197530864196
30,Banking and Finance,MS in Mathematics,3,20,,30.0
31,Banking and Finance,MS in Quantitative Economics,3,23,,35.18518518518518
28,Banking and Finance,MS in Digital Marketing and Media,3,19,,30.864197530864196
26,Banking and Finance,MS in Cybersecurity,3,17,,30.2880658436214
25,Banking and Finance,MS in Biotech. Management & Entrepreneurship,3,16,,30.0
24,Banking and Finance,MS in Artificial Intelligence,3,15,,30.0
27,Banking and Finance,MS in Data Analytics and Visualization,3,18,,33.45679012345679
36,Business Administration And Management,MS in Artificial Intelligence,4,15,,31.440329218106996
37,Business Administration And Management,MS in Biotech. Management & Entrepreneurship,4,16,,32.016460905349795
38,Business Administration And Management,MS in Cybersecurity,4,17,,35.18518518518518
39,Business Administration And Management,MS in Data Analytics and Visualization,4,18,,39.50617283950617
40,Business Administration And Management,MS in Digital Marketing and Media,4,19,,42.38683127572017
42,Business Administration And Management,MS in Mathematics,4,20,,30.2880658436214
43,Business Administration And Management,MS in Quantitative Economics,4,23,,32.016460905349795
47,Business Administration And Management,MS in Speech-Language Pathology,4,24,,30.864197530864196
55,Communications And Journalism,MS in Mathematics,5,20,,30.0
59,Communications And Journalism,MS in Speech-Language Pathology,5,24,,34.89711934156379
56,Communications And Journalism,MS in Quantitative Economics,5,23,,30.576131687242796
53,Communications And Journalism,MS in Digital Marketing and Media,5,19,,47.28395061728395
50,Communications And Journalism,MS in Biotech. Management & Entrepreneurship,5,16,,30.2880658436214
51,Communications And Journalism,MS in Cybersecurity,5,17,,31.152263374485596
49,Communications And Journalism,MS in Artificial Intelligence,5,15,,30.576131687242796
52,Communications And Journalism,MS in Data Analytics and Visualization,5,18,,31.728395061728396
62,Computer And Information Sciences,MS in Artificial Intelligence,6,15,,35.76131687242798
63,Computer And Information Sciences,MS in Biotech. Management & Entrepreneurship,6,16,,40.946502057613166
64,Computer And Information Sciences,MS in Cybersecurity,6,17,,48.43621399176955
65,Computer And Information Sciences,MS in Data Analytics and Visualization,6,18,,46.99588477366255
66,Computer And Information Sciences,MS in Digital Marketing and Media,6,19,,33.45679012345679
68,Computer And Information Sciences,MS in Mathematics,6,20,,30.864197530864196
69,Computer And Information Sciences,MS in Physics,6,22,,30.0
70,Computer And Information Sciences,MS in Quantitative Economics,6,23,,30.864197530864196
81,Economics,MS in Quantitative Economics,7,23,,42.38683127572017
80,Economics,MS in Mathematics,7,20,,30.0
78,Economics,MS in Digital Marketing and Media,7,19,,31.440329218106996
76,Economics,MS in Cybersecurity,7,17,,30.864197530864196
75,Economics,MS in Biotech. Management & Entrepreneurship,7,16,,30.576131687242796
74,Economics,MS in Artificial Intelligence,7,15,,30.0
77,Economics,MS in Data Analytics and Visualization,7,18,,34.32098765432099
85,Engineering-Electrical And Electronics,MS in Biotech. Management & Entrepreneurship,8,16,,30.2880658436214
86,Engineering-Electrical And Electronics,MS in Cybersecurity,8,17,,31.440329218106996
87,Engineering-Electrical And Electronics,MS in Data Analytics and Visualization,8,18,,32.30452674897119
88,Engineering-Industrial,MS in Artificial Intelligence,9,15,,30.0
89,Engineering-Industrial,MS in Biotech. Management & Entrepreneurship,9,16,,30.0
90,Engineering-Industrial,MS in Data Analytics and Visualization,9,18,,30.0
91,Engineering-Industrial,MS in Digital Marketing and Media,9,19,,30.0
100,Engineering-Other,MS in Mathematics,10,20,,31.728395061728396
101,Engineering-Other,MS in Quantitative Economics,10,23,,33.45679012345679
98,Engineering-Other,MS in Digital Marketing and Media,10,19,,32.016460905349795
95,Engineering-Other,MS in Biotech. Management & Entrepreneurship,10,16,,32.016460905349795
96,Engineering-Other,MS in Cybersecurity,10,17,,40.37037037037037
94,Engineering-Other,MS in Artificial Intelligence,10,15,,36.04938271604938
97,Engineering-Other,MS in Data Analytics and Visualization,10,18,,45.26748971193416
105,Health And Medical Sciences,MS in Artificial Intelligence,11,15,,31.440329218106996
106,Health And Medical Sciences,MS in Biotech. Management & Entrepreneurship,11,16,,61.39917695473251
107,Health And Medical Sciences,MS in Cybersecurity,11,17,,31.152263374485596
108,Health And Medical Sciences,MS in Data Analytics and Visualization,11,18,,34.609053497942384
109,Health And Medical Sciences,MS in Digital Marketing and Media,11,19,,31.728395061728396
111,Health And Medical Sciences,MS in Mathematics,11,20,,30.864197530864196
112,Health And Medical Sciences,MS in Occupational Therapy,11,21,,30.0
113,Health And Medical Sciences,MS in Quantitative Economics,11,23,,30.0
116,Health And Medical Sciences,MS in Speech-Language Pathology,11,24,,100.00000000000001
120,History,MS in Data Analytics and Visualization,12,18,,30.0
121,History,MS in Digital Marketing and Media,12,19,,30.0
118,History,MS in Biotech. Management & Entrepreneurship,12,16,,30.0
119,History,MS in Cybersecurity,12,17,,30.0
124,Jewish Studies,MS in Cybersecurity,13,17,,30.576131687242796
125,Jewish Studies,MS in Digital Marketing and Media,13,19,,30.0
130,Jewish Studies,MS in Speech-Language Pathology,13,24,,30.0
133,Law,MS in Biotech. Management & Entrepreneurship,14,16,,30.0
134,Law,MS in Cybersecurity,14,17,,30.576131687242796
135,Law,MS in Data Analytics and Visualization,14,18,,30.0
136,Law,MS in Digital Marketing and Media,14,19,,30.0
138,Law,MS in Mathematics,14,20,,30.0
141,Law,MS in Speech-Language Pathology,14,24,,30.2880658436214
151,Mathematical Sciences,MS in Quantitative Economics,25,23,,35.47325102880659
150,Mathematical Sciences,MS in Physics,25,22,,30.2880658436214
149,Mathematical Sciences,MS in Mathematics,25,20,,50.16460905349794
148,Mathematical Sciences,MS in Digital Marketing and Media,25,19,,30.864197530864196
