,undergrad,grad,source,target,job,counts
0,Accounting,MS in Accounting,0,16,,37.97674418604652
9,Accounting,MS in Taxation,0,30,,36.674418604651166
7,Accounting,MS in Real Estate,0,26,,30.16279069767442
6,Accounting,MS in Quantitative Economics,0,25,,30.813953488372096
5,Accounting,MBA,0,15,,31.13953488372093
8,Accounting,MS in Social Work/MSW,0,27,,31.790697674418606
3,Accounting,MS in Data Analytics and Visualization,0,20,,31.30232558139535
2,Accounting,MS in Cybersecurity,0,19,,30.651162790697676
1,Accounting,MS in Biotech. Management & Entrepreneurship,0,18,,30.0
4,Accounting,MS in Digital Marketing and Media,0,21,,31.30232558139535
10,Architecture And Environmental Design,MS in Data Analytics and Visualization,1,20,,30.0
11,Architecture And Environmental Design,MS in Real Estate,1,26,,30.0
18,Arts And Humanities-Other,MS in Mathematics,2,22,,30.0
22,Arts And Humanities-Other,MS in Speech-Language Pathology,2,29,,31.953488372093027
21,Arts And Humanities-Other,MS in Special Education,2,28,,30.0
19,Arts And Humanities-Other,MS in Quantitative Economics,2,25,,30.0
17,Arts And Humanities-Other,MS in Digital Marketing and Media,2,21,,30.325581395348838
20,Arts And Humanities-Other,MS in Social Work/MSW,2,27,,53.6046511627907
15,Arts And Humanities-Other,MS in Cybersecurity,2,19,,30.16279069767442
14,Arts And Humanities-Other,MS in Biotech. Management & Entrepreneurship,2,18,,30.0
13,Arts And Humanities-Other,MS in Artificial Intelligence,2,17,,30.16279069767442
12,Arts And Humanities-Other,MS in Accounting,2,16,,30.0
16,Arts And Humanities-Other,MS in Data Analytics and Visualization,2,20,,30.48837209302326
34,Banking and Finance,MS in Taxation,3,30,,30.16279069767442
33,Banking and Finance,MS in Social Work/MSW,3,27,,30.651162790697676
32,Banking and Finance,MS in Real Estate,3,26,,30.976744186046513
31,Banking and Finance,MS in Quantitative Economics,3,25,,32.93023255813954
30,Banking and Finance,MS in Mathematics,3,22,,30.0
29,Banking and Finance,MBA,3,15,,30.48837209302326
27,Banking and Finance,MS in Data Analytics and Visualization,3,20,,31.953488372093027
26,Banking and Finance,MS in Cybersecurity,3,19,,30.16279069767442
25,Banking and Finance,MS in Biotech. Management & Entrepreneurship,3,18,,30.0
24,Banking and Finance,MS in Artificial Intelligence,3,17,,30.0
23,Banking and Finance,MS in Accounting,3,16,,31.13953488372093
28,Banking and Finance,MS in Digital Marketing and Media,3,21,,30.48837209302326
43,Business Administration And Management,MS in Quantitative Economics,4,25,,31.13953488372093
47,Business Administration And Management,MS in Speech-Language Pathology,4,29,,30.48837209302326
46,Business Administration And Management,MS in Special Education,4,28,,30.0
45,Business Administration And Management,MS in Social Work/MSW,4,27,,40.093023255813954
44,Business Administration And Management,MS in Real Estate,4,26,,32.27906976744186
42,Business Administration And Management,MS in Mathematics,4,22,,30.16279069767442
48,Business Administration And Management,MS in Taxation,4,30,,31.790697674418606
40,Business Administration And Management,MS in Digital Marketing and Media,4,21,,37.0
39,Business Administration And Management,MS in Data Analytics and Visualization,4,20,,35.372093023255815
38,Business Administration And Management,MS in Cybersecurity,4,19,,32.93023255813954
37,Business Administration And Management,MS in Biotech. Management & Entrepreneurship,4,18,,31.13953488372093
36,Business Administration And Management,MS in Artificial Intelligence,4,17,,30.813953488372096
35,Business Administration And Management,MS in Accounting,4,16,,32.93023255813954
41,Business Administration And Management,MBA,4,15,,32.93023255813954
60,Communications And Journalism,MS in Taxation,5,30,,30.0
59,Communications And Journalism,MS in Speech-Language Pathology,5,29,,32.76744186046512
58,Communications And Journalism,MS in Social Work/MSW,5,27,,43.34883720930233
57,Communications And Journalism,MS in Real Estate,5,26,,30.813953488372096
56,Communications And Journalism,MS in Quantitative Economics,5,25,,30.325581395348838
55,Communications And Journalism,MS in Mathematics,5,22,,30.0
53,Communications And Journalism,MS in Digital Marketing and Media,5,21,,39.76744186046512
52,Communications And Journalism,MS in Data Analytics and Visualization,5,20,,30.976744186046513
51,Communications And Journalism,MS in Cybersecurity,5,19,,30.651162790697676
50,Communications And Journalism,MS in Biotech. Management & Entrepreneurship,5,18,,30.16279069767442
49,Communications And Journalism,MS in Artificial Intelligence,5,17,,30.325581395348838
54,Communications And Journalism,MBA,5,15,,31.30232558139535
68,Computer And Information Sciences,MS in Mathematics,6,22,,30.48837209302326
71,Computer And Information Sciences,MS in Real Estate,6,26,,30.0
70,Computer And Information Sciences,MS in Quantitative Economics,6,25,,30.48837209302326
72,Computer And Information Sciences,MS in Social Work/MSW,6,27,,31.790697674418606
67,Computer And Information Sciences,MBA,6,15,,30.325581395348838
69,Computer And Information Sciences,MS in Physics,6,24,,30.0
65,Computer And Information Sciences,MS in Data Analytics and Visualization,6,20,,39.6046511627907
64,Computer And Information Sciences,MS in Cybersecurity,6,19,,40.418604651162795
63,Computer And Information Sciences,MS in Biotech. Management & Entrepreneurship,6,18,,36.18604651162791
62,Computer And Information Sciences,MS in Artificial Intelligence,6,17,,33.25581395348837
61,Computer And Information Sciences,MS in Accounting,6,16,,30.0
66,Computer And Information Sciences,MS in Digital Marketing and Media,6,21,,31.953488372093027
84,Economics,MS in Taxation,7,30,,30.325581395348838
83,Economics,MS in Social Work/MSW,7,27,,32.44186046511628
81,Economics,MS in Quantitative Economics,7,25,,37.0
80,Economics,MS in Mathematics,7,22,,30.0
79,Economics,MBA,7,15,,31.13953488372093
82,Economics,MS in Real Estate,7,26,,30.16279069767442
77,Economics,MS in Data Analytics and Visualization,7,20,,32.44186046511628
76,Economics,MS in Cybersecurity,7,19,,30.48837209302326
75,Economics,MS in Biotech. Management & Entrepreneurship,7,18,,30.325581395348838
74,Economics,MS in Artificial Intelligence,7,17,,30.0
73,Economics,MS in Accounting,7,16,,31.13953488372093
