,undergrad,grad,source,target,job,counts
1,Accounting,MS in Biotech. Management & Entrepreneurship,0,16,,30
2,Accounting,MS in Cybersecurity,0,17,,31.15226337
3,Accounting,MS in Data Analytics and Visualization,0,18,,32.30452675
4,Accounting,MS in Digital Marketing and Media,0,19,,32.30452675
6,Accounting,MS in Quantitative Economics,0,23,,31.44032922
10,Architecture And Environmental Design,MS in Data Analytics and Visualization,1,18,,30
22,Arts And Humanities-Other,MS in Speech-Language Pathology,2,24,,33.45679012
19,Arts And Humanities-Other,MS in Quantitative Economics,2,23,,30
18,Arts And Humanities-Other,MS in Mathematics,2,20,,30
17,Arts And Humanities-Other,MS in Digital Marketing and Media,2,19,,30.57613169
15,Arts And Humanities-Other,MS in Cybersecurity,2,17,,30.28806584
14,Arts And Humanities-Other,MS in Biotech. Management & Entrepreneurship,2,16,,30
13,Arts And Humanities-Other,MS in Artificial Intelligence,2,15,,30.28806584
16,Arts And Humanities-Other,MS in Data Analytics and Visualization,2,18,,30.86419753
30,Banking and Finance,MS in Mathematics,3,20,,30
31,Banking and Finance,MS in Quantitative Economics,3,23,,35.18518519
28,Banking and Finance,MS in Digital Marketing and Media,3,19,,30.86419753
26,Banking and Finance,MS in Cybersecurity,3,17,,30.28806584
25,Banking and Finance,MS in Biotech. Management & Entrepreneurship,3,16,,30
24,Banking and Finance,MS in Artificial Intelligence,3,15,,30
27,Banking and Finance,MS in Data Analytics and Visualization,3,18,,33.45679012
36,Business Administration And Management,MS in Artificial Intelligence,4,15,,31.44032922
37,Business Administration And Management,MS in Biotech. Management & Entrepreneurship,4,16,,32.01646091
38,Business Administration And Management,MS in Cybersecurity,4,17,,35.18518519
39,Business Administration And Management,MS in Data Analytics and Visualization,4,18,,39.50617284
40,Business Administration And Management,MS in Digital Marketing and Media,4,19,,42.38683128
42,Business Administration And Management,MS in Mathematics,4,20,,30.28806584
43,Business Administration And Management,MS in Quantitative Economics,4,23,,32.01646091
47,Business Administration And Management,MS in Speech-Language Pathology,4,24,,30.86419753
55,Communications And Journalism,MS in Mathematics,5,20,,30
59,Communications And Journalism,MS in Speech-Language Pathology,5,24,,34.89711934
56,Communications And Journalism,MS in Quantitative Economics,5,23,,30.57613169
53,Communications And Journalism,MS in Digital Marketing and Media,5,19,,47.28395062
50,Communications And Journalism,MS in Biotech. Management & Entrepreneurship,5,16,,30.28806584
51,Communications And Journalism,MS in Cybersecurity,5,17,,31.15226337
49,Communications And Journalism,MS in Artificial Intelligence,5,15,,30.57613169
52,Communications And Journalism,MS in Data Analytics and Visualization,5,18,,31.72839506
62,Computer And Information Sciences,MS in Artificial Intelligence,6,15,,35.76131687
63,Computer And Information Sciences,MS in Biotech. Management & Entrepreneurship,6,16,,40.94650206
