,undergrad,source,target,job,counts,grad
1,Accounting,0,16,,30,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
2,Accounting,0,17,,31.15226337,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
3,Accounting,0,18,,32.30452675,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
4,Accounting,0,19,,32.30452675,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
6,Accounting,0,23,,31.44032922,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
10,Architecture And Environmental Design,1,18,,30,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
22,Arts And Humanities-Other,2,24,,33.45679012,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
19,Arts And Humanities-Other,2,23,,30,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
18,Arts And Humanities-Other,2,20,,30,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
17,Arts And Humanities-Other,2,19,,30.57613169,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
15,Arts And Humanities-Other,2,17,,30.28806584,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
14,Arts And Humanities-Other,2,16,,30,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
13,Arts And Humanities-Other,2,15,,30.28806584,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
16,Arts And Humanities-Other,2,18,,30.86419753,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
30,Banking and Finance,3,20,,30,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
31,Banking and Finance,3,23,,35.18518519,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
28,Banking and Finance,3,19,,30.86419753,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
26,Banking and Finance,3,17,,30.28806584,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
25,Banking and Finance,3,16,,30,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
24,Banking and Finance,3,15,,30,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
27,Banking and Finance,3,18,,33.45679012,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
36,Business Administration And Management,4,15,,31.44032922,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
37,Business Administration And Management,4,16,,32.01646091,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
38,Business Administration And Management,4,17,,35.18518519,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
39,Business Administration And Management,4,18,,39.50617284,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
40,Business Administration And Management,4,19,,42.38683128,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
42,Business Administration And Management,4,20,,30.28806584,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
43,Business Administration And Management,4,23,,32.01646091,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
47,Business Administration And Management,4,24,,30.86419753,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
55,Communications And Journalism,5,20,,30,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
59,Communications And Journalism,5,24,,34.89711934,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
56,Communications And Journalism,5,23,,30.57613169,"MS in Quantitative Economics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
53,Communications And Journalism,5,19,,47.28395062,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
50,Communications And Journalism,5,16,,30.28806584,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
51,Communications And Journalism,5,17,,31.15226337,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
49,Communications And Journalism,5,15,,30.57613169,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
52,Communications And Journalism,5,18,,31.72839506,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
62,Computer And Information Sciences,6,15,,35.76131687,"MS in Artificial Intelligence Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
63,Computer And Information Sciences,6,16,,40.94650206,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
64,Computer And Information Sciences,6,17,,48.43621399,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
65,Computer And Information Sciences,6,18,,46.99588477,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
66,Computer And Information Sciences,6,19,,33.45679012,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
68,Computer And Information Sciences,6,20,,30.86419753,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
69,Computer And Information Sciences,6,22,,30,"MS in Physics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
